frame,p_complete,p_incomplete,p_interception,leader,separation,receiver_to_catch_point,projected_separation_at_catch,ball_to_receiver,receiver_y,closing_speed,defender_to_catch_point,receiver_speed,receiver_x,receiver_defender_speed_diff,ball_z,ball_y,defender_can_arrive,second_defender_dist,receiver_will_arrive_first,ball_x,defender_speed,defender_alignment,receiver_alignment,time_remaining,delta_complete,delta_incomplete,delta_interception
0,0.8668779664205352,0.11201924321717852,0.021102790362286166,complete,3.110964480671549,2.064945788838177,7.905143986258712,22.356923193782176,40.45,0.0,4.980090857906493,1.9235384061671728,51.12,-2.686233822479264,2.4991363636363637,25.14636362249201,1.0,7.221744941494401,1.0,67.41818174882368,4.609772228646436,0.2110458660606075,0.9999994932821806,1.0,0.0,0.0,0.0
1,0.8757225343557279,0.10319084015805925,0.021086625486212957,complete,3.3147096403757605,1.9990499986787336,7.805466124003428,20.298138272690494,40.4,-2.037451597042117,5.153960088999518,1.3928388277183847,50.99,-3.141474791783523,2.8911727272727274,26.472727244984018,1.0,6.86804921356858,0.0,65.75636349764736,4.534313619501908,0.3047538724002071,0.9632396383192074,0.9,0.008844567935192726,-0.008828403059119264,-1.6164876073209572e-05
2,0.8800129150286241,0.10122466722921518,0.018762417742160305,complete,3.5307364670844463,1.9316575035601484,7.536378528880195,18.218084639754355,40.34,-2.160268267086858,5.332335720473784,1.2529964086141387,50.88,-3.0609345134104053,3.176109090909091,27.79909086747603,0.0,6.47621031159428,0.0,64.09454524647104,4.313930922024544,0.4174612522603986,0.8969742939818909,0.8,0.004290380672896221,-0.0019661729288440732,-0.002324207744052651
3,0.8857839912650837,0.10370849501673045,0.010507513718185398,complete,3.7580047897787496,1.8401088367285476,7.1378569058574755,16.110293579933384,40.25,-2.272683226943033,5.490446599086703,1.3453624047074044,50.78,-2.624524243548449,3.3539454545454546,29.125454489968035,0.0,6.0161948106755965,1.0,62.43272699529473,3.9698866482558537,0.5527504761862703,0.735979596004417,0.7,0.00577107623645956,0.0024838277875152692,-0.008254904023974908
4,0.8708665964811476,0.11999792466350781,0.009135478855344046,complete,3.9813691112480334,1.732887871550503,6.783155696908057,13.974407723349774,40.14,-2.2336432146928376,5.625158084801232,1.3601470508735298,50.7,-2.220355707120116,3.424681818181818,30.451818112460046,0.0,5.524717187331858,1.0,60.77090874411841,3.5805027579936457,0.6688878267136483,0.5405220676361533,0.6,-0.014917394783936055,0.016289429646777362,-0.0013720348628413516
5,0.9144975812901431,0.08320258410462988,0.002299834605226608,complete,4.184459343810142,1.6200309307773806,6.415107269698559,11.831831037985529,40.02,-2.0309023256210823,5.722814265096655,1.4422205101856045,50.62,-1.6464685321104888,3.388318181818182,31.778181734952057,0.0,4.977268327104744,1.0,59.10909049294209,3.0886890422960933,0.7858115076372738,0.45881777209634117,0.5,0.04363098480899552,-0.036795340558877926,-0.006835644250117438
6,0.7406769608116822,0.22651916932188945,0.03280386986642783,complete,4.367985805837747,1.4829700094164813,6.059546297167406,9.668597951220724,39.87,-1.8352646202760514,5.767885466593287,1.700000000000042,50.54,-0.9248809496812904,3.2448545454545457,33.10454535744407,0.0,4.3777619853071,1.0,57.44727224176577,2.6248809496813323,0.9112938054699476,0.3086021975532414,0.4,-0.17382062047846092,0.14331658521725957,0.030504035261201223
7,0.5362996806854217,0.3959413001515517,0.06775901916302615,complete,3.7520261193120725,1.3534030740995204,1.3579395887735326,7.505660798650971,39.72,6.159596865256742,2.644125069203849,1.6999999999999795,50.46,-4.20762219509674,2.9942909090909087,34.43090897993608,1.0,4.4947191235938195,0.0,55.78545399058945,5.90762219509672,0.9949748566757269,0.23383376266810507,0.3,-0.20437728012626055,0.16942213082966226,0.03495514929659832
8,0.3879735029137439,0.5089411627734239,0.10308533431283173,incomplete,3.094575899860914,1.2126416096532768,1.2224974699718292,5.33610162415682,39.54,6.5745021945115845,2.0856889211378893,2.059126028197405,50.36,-4.30090541826579,2.6366272727272735,35.75727260242808,1.0,4.594790528413677,0.0,54.12363573941313,6.360031446463195,0.9617000378121354,0.13536402714868864,0.2,-0.14832617777167778,0.11299986262187223,0.03532631514980558
9,0.4222776491917838,0.4753681313294647,0.10235421947875176,incomplete,2.4932909978580513,1.099317705267602,1.1447707580566442,3.180788276794633,39.35,6.012849020028628,1.5471907387679966,2.302172886644263,50.23,-4.304641777019304,2.1718636363636366,37.08363622492009,1.0,4.643888456886104,0.0,52.46181748823682,6.606814663663567,0.857855009470666,0.05492357421172108,0.1,0.034304146278039904,-0.033573031443959234,-0.0007311148340799767
10,0.6231240718595338,0.30377840786888644,0.07309752027157981,complete,2.071834935510067,1.0113847708284078,1.12791848546954,1.0113847708284078,39.14,4.214560623479842,1.12791848546954,2.4698178070456773,50.1,-4.341936739324892,1.5999999999999996,38.4099998474121,1.0,4.65585652699909,0.0,50.7999992370605,6.81175454637057,0.571643429941993,-0.20857146664629758,0.0,0.20084642266775,-0.17158972346057827,-0.029256699207171943
