outcome,feature,n_plays,mean_abs_shap_m3,mean_abs_shap_m6,mean_abs_shap_delta,mean_signed_shap_m3,mean_signed_shap_m6,mean_signed_shap_delta
complete,time_remaining,9737,0.03073620258091313,0.03911922436030886,0.022670694485635544,-0.020762869124417892,-0.03396466730861815,-0.013201798184200253
complete,frames_remaining,9737,0.0056548158893433495,0.005481822966347535,0.005719253839038433,-0.004264126764433684,-0.004090251924797244,0.00017387483963644018
complete,separation,9737,0.24202217342461538,0.25010737464071015,0.06681049617042768,0.09077493235967653,0.06330703562545396,-0.027467896734222567
complete,second_defender_dist,9737,0.23408176579386783,0.2495589491541122,0.05219687486036126,-0.19900605119961562,-0.2111469476676551,-0.01214089646803947
complete,closing_speed,9737,0.05504889198268386,0.05991875959434879,0.06038651075516247,0.044318937869730804,-0.005273217867632246,-0.04959215573736305
complete,ball_to_receiver,9737,0.09749714961729823,0.14999154921940364,0.1281627525737563,0.0005034547617967457,-0.09288921827394551,-0.09339267303574225
complete,ball_x,9737,0.046818253337462395,0.04252854792347362,0.01659727064163814,0.0027039645705611015,0.0011262430782690645,-0.0015777214922920368
complete,ball_y,9737,0.024347912657890828,0.023438199422065674,0.016603851148093,0.015570060051941805,0.004660523333605454,-0.010909536718336353
complete,ball_z,9737,0.06208917130646154,0.06835288288205997,0.04044124852947786,0.05434850649324563,0.054044302660248865,-0.00030420383299675194
complete,receiver_x,9737,0.023759192034731615,0.025417228327153114,0.011994193505304625,-0.004224706885806809,-0.00390744310231388,0.0003172637834929289
complete,receiver_y,9737,0.0339986106326324,0.03673885244531779,0.019273009393872536,-0.0013728542049201886,-0.0030349813852429456,-0.0016621271803227574
complete,receiver_speed,9737,0.06844992055835594,0.06419829936611259,0.035861395989977285,-0.044497100627293014,-0.03532936270353349,0.009167737923759526
complete,receiver_to_catch_point,9737,0.3533612153377172,0.5831079010442402,0.36563159019104774,0.20736942169390868,0.509501450469984,0.30213202877607526
complete,receiver_alignment,9737,0.013143588473211794,0.011775394772525243,0.012094922539611743,0.0002022431234477093,0.0014046906664968736,0.0012024475430491642
complete,defender_speed,9737,0.034519353878131806,0.035968099230017266,0.018161513587137197,-0.020080548704616844,-0.01375131005108436,0.006329238653532483
complete,defender_to_catch_point,9737,0.16417982860659994,0.1701560451609861,0.07270463020157218,-0.0534364327760692,-0.09572964370003292,-0.04229321092396372
complete,defender_alignment,9737,0.013214462926232308,0.01323080764387418,0.011894865457946177,0.0007831948542292612,0.0008742827251695906,9.108787094032926e-05
complete,projected_separation_at_catch,9737,0.18944999089950734,0.18203993074833835,0.061096442886600065,-0.013676475244853511,-0.06108324997230582,-0.0474067747274523
incomplete,time_remaining,4031,0.05595750517712122,0.04387701793596424,0.04056731346674597,-0.005140768176471367,0.024128946644442418,0.029269714820913784
incomplete,frames_remaining,4031,0.017747662572651167,0.012335988437771,0.014605807589146449,-0.006476052282046524,0.004912589345525965,0.01138864162757249
incomplete,separation,4031,0.33221463701898124,0.34451518512733936,0.12856074267328313,0.14520162380895563,0.13688874034080611,-0.008312883468149509
incomplete,second_defender_dist,4031,0.0626331122093954,0.0721817616614191,0.03053539758311254,0.045637413431604004,0.0533922656624853,0.007754852230881303
incomplete,closing_speed,4031,0.05389471622013853,0.06935105382587739,0.05046383853651796,0.024084637003494357,0.04178149971865705,0.017696862715162694
incomplete,ball_to_receiver,4031,0.11199974465117758,0.1349472493825998,0.12641013512644989,-0.018547050102675645,0.07032090289057762,0.08886795299325326
incomplete,ball_x,4031,0.03826991888377061,0.0329714989912898,0.01790443931901269,0.002770569171825602,0.0022458125717062065,-0.0005247566001193957
incomplete,ball_y,4031,0.06330495356439161,0.07752873467607371,0.05644070986067405,-0.03662047882797816,0.00702801481206062,0.043648493640038775
incomplete,ball_z,4031,0.04991126333318409,0.06492910542454522,0.0551990467906715,-0.03651659775870976,-0.007264705841150655,0.029251891917559104
incomplete,receiver_x,4031,0.03880386834039717,0.04075557158449257,0.02045742510567261,0.011892645880436894,0.014504202640395073,0.002611556759958179
incomplete,receiver_y,4031,0.0318781297274988,0.03140525458945972,0.019435759703038333,0.016007954394745907,0.017405241335634997,0.0013972869408890893
incomplete,receiver_speed,4031,0.09159531593099361,0.08292205884480469,0.04873900046042028,0.05686363530179451,0.03851931104249809,-0.018344324259296413
incomplete,receiver_to_catch_point,4031,0.44532284294624314,0.3840776856024537,0.20221994950641548,0.2650817257013743,0.11953638855426647,-0.14554533714710782
incomplete,receiver_alignment,4031,0.023388323505451367,0.02376954435330674,0.017819164934778274,0.005525849115965626,0.0039039372288573117,-0.0016219118871083139
incomplete,defender_speed,4031,0.027805824946407928,0.028016365921954434,0.019441265360591757,0.00583412115506227,0.004603057127615175,-0.0012310640274470945
incomplete,defender_to_catch_point,4031,0.0481443705523123,0.04059622011520562,0.026966755578670433,0.024325789608575735,0.01246808379505167,-0.011857705813524065
incomplete,defender_alignment,4031,0.028400211140239856,0.0276533233132712,0.018622455987945197,0.009752740197426508,0.008406251066214319,-0.0013464891312121895
incomplete,projected_separation_at_catch,4031,0.06930277268352968,0.07602396605479778,0.044617789566176756,0.044239049793683274,0.05430054381581441,0.010061494022131131
interception,time_remaining,337,0.10421365472747003,0.06772367864718852,0.07068952746118527,0.08296230720435602,0.04466320837607889,-0.038299098828277124
interception,frames_remaining,337,0.02276570059004873,0.013924494233577214,0.01519933711850419,0.017400487286475714,0.008263889079966872,-0.009136598206508844
interception,separation,337,0.20397208850490164,0.20996702355600927,0.0804400527466647,0.19438941117088948,0.202279047613235,0.00788963644234554
interception,second_defender_dist,337,0.5405998143282033,0.5431346728679707,0.11404591444820437,0.5339562491659495,0.5374821166823979,0.0035258675164484164
interception,closing_speed,337,0.14784511547970938,0.17459684312519147,0.10994167418688498,0.10512579660691922,0.140785260980336,0.03565946437341675
interception,ball_to_receiver,337,0.42623045285684563,0.3398491719928938,0.20055826666869622,0.3312307802636797,0.22293941945615345,-0.1082913608075262
interception,ball_x,337,0.08194495443473158,0.07810538092454766,0.03323244493069827,0.06881789218721635,0.06264401822815656,-0.006173873959059782
interception,ball_y,337,0.09412968385805721,0.09466881864236976,0.037255481082346435,0.0825405869799894,0.07806288302164482,-0.004477703958344564
interception,ball_z,337,0.15152550534422507,0.23082986469677538,0.15582387350295485,0.036539283612385516,0.11664471343932314,0.08010542982693762
interception,receiver_x,337,0.17237918506136482,0.17164600502173294,0.05955209461018861,0.14358522403620325,0.1388389364713623,-0.004746287564840951
interception,receiver_y,337,0.29470270092180606,0.29311105445740915,0.07791734596298999,0.24632882226633196,0.2375915038885858,-0.008737318377746132
interception,receiver_speed,337,0.229145156597729,0.21101441524007675,0.08020868116118295,0.17975914129748657,0.16409653742833127,-0.015662603869155297
interception,receiver_to_catch_point,337,0.37887000676211624,0.3546459305111805,0.11969261486773353,0.29119893028039,0.2621498754919658,-0.029049054788424216
interception,receiver_alignment,337,0.06226866706598589,0.06116436664230633,0.032721394510641474,0.05393045443494572,0.05013973890287092,-0.003790715532074808
interception,defender_speed,337,0.11652874367765337,0.11991258822498406,0.04642978485667216,0.10776257915814082,0.1093359004299688,0.0015733212718279837
interception,defender_to_catch_point,337,0.577101834939837,0.6390811662766226,0.29555498938142477,0.3820200885775094,0.5203609615429706,0.13834087296546121
interception,defender_alignment,337,0.09348480894367227,0.09152875705757219,0.05652619412141653,0.0744533949805069,0.06913987886059204,-0.005313516119914866
interception,projected_separation_at_catch,337,0.3973147963458135,0.46992990006494473,0.19783893384183376,0.3199493314136599,0.40638298502772147,0.08643365361406151
ALL,time_remaining,14105,0.03969961783356854,0.04116235566113447,0.028932560336441385,-0.013820077678549814,-0.015483777414925834,-0.0016636997363760223
ALL,frames_remaining,14105,0.00951958959544413,0.0076423561979933625,0.008485399619390462,-0.004378646213305778,-0.0012222052265144813,0.0031564409867912966
ALL,separation,14105,0.2668887414594219,0.2761286852224938,0.08478344223346931,0.10880485597480755,0.08765594875891493,-0.021148907215892618
ALL,second_defender_dist,14105,0.19240768282733559,0.20588135795301504,0.04748405752158165,-0.1115784651555432,-0.11765913741457013,-0.006080672259026917
ALL,closing_speed,14105,0.056936154997194836,0.06535428545022867,0.05873474176282887,0.03998908637044923,0.011663986950666049,-0.028325099419783183
ALL,ball_to_receiver,14105,0.10949595031019403,0.15022823452479248,0.12939157124230666,0.002960918326876245,-0.03870033140196847,-0.04166124972884472
ALL,ball_x,14105,0.04521452147549487,0.040647295068154864,0.017368291603985536,0.004302608792787973,0.0029159967013500437,-0.0013866120914379295
ALL,ball_y,14105,0.03714850030684941,0.040598331735865655,0.028482048720461492,0.002254853057953481,0.007090863876995888,0.004836010819042405
ALL,ball_z,14105,0.06074573972407551,0.07125635653965069,0.047415557597675906,0.027955103916111133,0.038018760310968944,0.010063656394857807
ALL,receiver_x,14105,0.031609601665225286,0.03329443211420797,0.01554912432795115,0.003912903587177647,0.004764862739954015,0.0008519591527763681
ALL,receiver_y,14105,0.03962141246877974,0.04133989456663016,0.020720665396711236,0.009512470462649185,0.008555636362019675,-0.0009568341006295082
ALL,receiver_speed,14105,0.07890390023168958,0.07305703779277929,0.04060118037303662,-0.010171720970518645,-0.00945977516615726,0.0007119458043613849
ALL,receiver_to_catch_point,14105,0.3802519479573549,0.5207695470906434,0.3130549323900049,0.22586561750019993,0.3921454316575168,0.16627981415731685
ALL,receiver_alignment,14105,0.017245089955007082,0.0163831580111106,0.014223638750115342,0.003007337981144593,0.0032833276142836855,0.0002759896331390917
ALL,defender_speed,14105,0.034560114547303004,0.035701233283650914,0.019202639912314693,-0.009620061764232878,-0.005565075096851624,0.004054986667381254
ALL,defender_to_catch_point,14105,0.14088424439656572,0.14433343694095266,0.06495781690406727,-0.020809111533342525,-0.05008855376741483,-0.02927944223407231
ALL,defender_alignment,14105,0.01947216286657557,0.01922326206540949,0.014883853418670429,0.005106703873795632,0.004657825460397429,-0.00044887841339820347
ALL,projected_separation_at_catch,14105,0.16008005136081888,0.1586204742421373,0.05965417191299407,0.01084599042506927,-0.01693945741967045,-0.027785447844739717
