play_id,outcome,frame_m3,frame_m6,frame_diff,total_frames
Week_01_ARI_vs_WAS_001_Q1_1430_WAS,complete,0,6,6,7
Week_01_ARI_vs_WAS_002_Q1_1316_WAS,incomplete,5,5,0,8
Week_01_ARI_vs_WAS_003_Q1_1312_WAS,complete,8,8,0,10
Week_01_ARI_vs_WAS_004_Q1_1156_WAS,incomplete,7,7,0,8
Week_01_ARI_vs_WAS_005_Q1_1151_WAS,complete,7,7,0,8
Week_01_ARI_vs_WAS_006_Q1_951_ARI,complete,0,6,6,7
Week_01_ARI_vs_WAS_007_Q1_912_ARI,incomplete,0,3,3,12
Week_01_ARI_vs_WAS_008_Q1_610_WAS,complete,0,6,6,7
Week_01_ARI_vs_WAS_009_Q1_422_WAS,complete,0,4,4,7
Week_01_ARI_vs_WAS_010_Q1_216_ARI,complete,2,1,1,16
Week_01_ARI_vs_WAS_011_Q1_100_ARI,incomplete,5,1,4,8
Week_01_ARI_vs_WAS_012_Q2_1446_ARI,complete,4,4,0,5
Week_01_ARI_vs_WAS_013_Q2_1334_ARI,incomplete,1,1,0,9
Week_01_ARI_vs_WAS_014_Q2_1047_WAS,complete,0,1,1,9
Week_01_ARI_vs_WAS_015_Q2_1010_WAS,complete,0,7,7,8
Week_01_ARI_vs_WAS_016_Q2_936_WAS,complete,0,11,11,12
Week_01_ARI_vs_WAS_017_Q2_617_WAS,complete,0,5,5,11
Week_01_ARI_vs_WAS_018_Q2_511_WAS,incomplete,8,7,1,10
Week_01_ARI_vs_WAS_019_Q2_347_ARI,complete,0,6,6,7
Week_01_ARI_vs_WAS_020_Q2_313_ARI,complete,0,15,15,16
Week_01_ARI_vs_WAS_021_Q2_200_ARI,complete,5,6,1,7
Week_01_ARI_vs_WAS_022_Q2_129_WAS,complete,0,1,1,8
Week_01_ARI_vs_WAS_023_Q2_109_WAS,incomplete,2,5,3,8
Week_01_ARI_vs_WAS_024_Q2_105_WAS,incomplete,0,1,1,7
Week_01_ARI_vs_WAS_025_Q2_049_WAS,complete,0,1,1,11
Week_01_ARI_vs_WAS_026_Q2_030_WAS,incomplete,0,1,1,18
Week_01_ARI_vs_WAS_027_Q2_025_WAS,complete,0,1,1,11
Week_01_ARI_vs_WAS_028_Q2_019_WAS,incomplete,5,4,1,10
